fighter_id,name,nickname,height,reach,weight,stance,dob,slpm,str_acc,sapm,str_def,td_avg,td_acc,td_def,sub_avg,fighter_link
1,Tom Aaron,,,,155.0,,1978-07-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/93fe7332d16c6ad9
2,Danny Abbadi,The Assassin,71.0,,155.0,Orthodox,1983-07-03,3.29,0.38,4.41,0.5700000000000001,0.0,0.0,0.77,0.0,http://ufcstats.com/fighter-details/15df64c02b6b0fde
3,Nariman Abbasov,Bayraktar,68.0,66.0,155.0,Orthodox,1994-02-01,3.0,0.2,5.67,0.46,0.0,0.0,0.66,0.0,http://ufcstats.com/fighter-details/59a9d6dac61c2540
4,David Abbott,Tank,72.0,,265.0,Switch,1965-04-26,1.35,0.3,3.55,0.38,1.07,0.33,0.66,0.0,http://ufcstats.com/fighter-details/b361180739bed4b0
5,Hamdy Abdelwahab,The Hammer,74.0,72.0,264.0,Southpaw,1993-01-22,3.4,0.51,3.87,0.51,2.0,0.8,1.0,0.0,http://ufcstats.com/fighter-details/3329d692aea4dc28
6,Mansur Abdul-Malik,,74.0,79.0,185.0,Orthodox,1997-10-07,5.29,0.54,3.84,0.49,0.75,0.33,0.8200000000000001,0.0,http://ufcstats.com/fighter-details/841695e02c99a521
7,Shamil Abdurakhimov,Abrek,75.0,76.0,235.0,Orthodox,1981-09-02,2.41,0.44,3.02,0.55,1.01,0.23,0.45,0.1,http://ufcstats.com/fighter-details/2f5cbecbbe18bac4
8,Hiroyuki Abe,Abe Ani,66.0,,145.0,Orthodox,,1.71,0.36,3.11,0.63,0.0,0.0,0.33,0.0,http://ufcstats.com/fighter-details/c0ed7b208197e8de
9,Daichi Abe,,71.0,71.0,170.0,Orthodox,1991-11-27,3.8,0.33,4.49,0.56,0.33,0.5,0.0,0.0,http://ufcstats.com/fighter-details/5140122c3eecd307
10,Papy Abedi,Makambo,71.0,,185.0,Southpaw,1978-06-30,2.8,0.55,3.15,0.48,3.47,0.5700000000000001,0.5,1.3,http://ufcstats.com/fighter-details/c9f6385af6df66d7
11,Ricardo Abreu,Demente,71.0,,185.0,Orthodox,1984-04-27,3.79,0.31,3.98,0.68,2.13,0.42,1.0,0.7,http://ufcstats.com/fighter-details/aa6e591c2a2cdecd
12,Klidson Abreu,White Bear,72.0,74.0,205.0,Orthodox,1992-12-24,2.05,0.4,2.9,0.55,0.64,0.2,0.8,0.0,http://ufcstats.com/fighter-details/7279654c7674cd24
13,Cyborg Abreu,,,,,,1980-12-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/f689bd7bbd14b392
14,Daniel Acacio,,68.0,,180.0,Orthodox,1977-12-27,3.52,0.36,2.85,0.62,0.33,0.2,0.81,0.0,http://ufcstats.com/fighter-details/1c5879330d42255f
15,John Adajar,The Outlaw,69.0,75.0,170.0,Orthodox,1991-06-22,3.9,0.52,6.28,0.44,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/989b85f6540c86b1
16,Scott Adams,,72.0,,225.0,Southpaw,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/2620f3eb21c79614
17,Juan Adams,The Kraken,77.0,80.0,265.0,Orthodox,1992-01-16,7.09,0.55,4.06,0.34,0.91,0.66,0.5700000000000001,0.0,http://ufcstats.com/fighter-details/83b00f7597e5ac83
18,Anthony Adams,Sugafoot,73.0,76.0,185.0,Orthodox,1988-01-13,3.17,0.41,5.93,0.44,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/a77633a989013265
19,Zarrukh Adashev,The Lion,65.0,65.0,125.0,Southpaw,1992-07-29,3.65,0.4,3.04,0.64,0.0,0.0,1.0,0.5,http://ufcstats.com/fighter-details/79cb2a690b9ba5e8
20,Israel Adesanya,The Last Stylebender,76.0,80.0,185.0,Switch,1989-07-22,4.02,0.48,3.2,0.55,0.05,0.11,0.76,0.1,http://ufcstats.com/fighter-details/1338e2c7480bdf9e
21,Sam Adkins,The Experience,75.0,,225.0,Orthodox,1965-04-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/0e9869d712e81f8f
