fight_id,event_name,fighter_1_link,fighter_1,fighter_1_result,fighter_2_link,fighter_2,fighter_2_result,bout_type,method,end_round,end_time_round,max_round,referee,fight_link
1,UFC Fight Night: Cannonier vs. Borralho,http://ufcstats.com/fighter-details/13a0275fa13c4d26,Jared Cannonier,L,http://ufcstats.com/fighter-details/4126a78111c0855a,Caio Borralho,W,Middleweight Bout,Decision - Unanimous,5,300,5,Dan Miragliotta,http://ufcstats.com/fight-details/15805ae1eea3343e
2,UFC Fight Night: Cannonier vs. Borralho,http://ufcstats.com/fighter-details/f0feeb2192937424,Angela Hill,L,http://ufcstats.com/fighter-details/d25240135aee03e5,Tabatha Ricci,W,Women's Strawweight Bout,Decision - Unanimous,3,300,3,Keith Peterson,http://ufcstats.com/fight-details/70afe9e0d2422252
3,UFC Fight Night: Cannonier vs. Borralho,http://ufcstats.com/fighter-details/0cd0456d6029cec2,Robert Valentin,L,http://ufcstats.com/fighter-details/d5bab53a1a603aac,Ryan Loder,W,Middleweight Bout,KO/TKO,2,109,3,Mark Smith,http://ufcstats.com/fight-details/5c5523a6bf83e44f
4,UFC Fight Night: Cannonier vs. Borralho,http://ufcstats.com/fighter-details/7facc9c45d792985,Kaan Ofli,L,http://ufcstats.com/fighter-details/480779d7f9a424d3,Mairon Santos,W,Featherweight Bout,KO/TKO,2,90,3,Chris Tognoni,http://ufcstats.com/fight-details/bad06a5380d762b8
5,UFC Fight Night: Cannonier vs. Borralho,http://ufcstats.com/fighter-details/84b3e7d38f2d2ec5,Neil Magny,L,http://ufcstats.com/fighter-details/c32aeb1a59e6272d,Michael Morales,W,Welterweight Bout,KO/TKO,1,279,3,Dan Miragliotta,http://ufcstats.com/fight-details/ae50a1a655b1a8f6
6,UFC Fight Night: Cannonier vs. Borralho,http://ufcstats.com/fighter-details/4144798612ef96e5,Edmen Shahbazyan,L,http://ufcstats.com/fighter-details/6ac9bc2953c47345,Gerald Meerschaert,W,Middleweight Bout,Submission,2,252,3,Mark Smith,http://ufcstats.com/fight-details/2cbd53e43d3f606b
7,UFC Fight Night: Cannonier vs. Borralho,http://ufcstats.com/fighter-details/c4d039123e62f6a9,Dennis Buzukja,L,http://ufcstats.com/fighter-details/5d495dec23d7c68e,Francis Marshall,W,Lightweight Bout,Decision - Split,3,300,3,Keith Peterson,http://ufcstats.com/fight-details/560f1e26c2a6690a
8,UFC Fight Night: Cannonier vs. Borralho,http://ufcstats.com/fighter-details/23dec7c47cb418f8,Zachary Reese,W,http://ufcstats.com/fighter-details/baa9be02c3e3e038,Jose Daniel Medina,L,Middleweight Bout,Decision - Unanimous,3,300,3,Dan Miragliotta,http://ufcstats.com/fight-details/d2caa1ddb9de7481
9,UFC Fight Night: Cannonier vs. Borralho,http://ufcstats.com/fighter-details/19c591115a58982c,Viacheslav Borshchev,W,http://ufcstats.com/fighter-details/93b2b7caa457cbea,James Llontop,L,Lightweight Bout,Decision - Split,3,300,3,Chris Tognoni,http://ufcstats.com/fight-details/ba8eda6993922ba0
10,UFC Fight Night: Cannonier vs. Borralho,http://ufcstats.com/fighter-details/e3964ece586e0635,Jacqueline Cavalcanti,W,http://ufcstats.com/fighter-details/68d35296f566792b,Josiane Nunes,L,Women's Bantamweight Bout,Decision - Split,3,300,3,Mark Smith,http://ufcstats.com/fight-details/903d588b30a471e8
11,UFC Fight Night: Cannonier vs. Borralho,http://ufcstats.com/fighter-details/2997e7fe3c9d3d4a,Wang Cong,W,http://ufcstats.com/fighter-details/9dedfdd91070ddd8,Victoria Leonardo,L,Women's Flyweight Bout,KO/TKO,1,62,3,Chris Tognoni,http://ufcstats.com/fight-details/d4127baf74b0e791
12,UFC 305: Du Plessis vs. Adesanya,http://ufcstats.com/fighter-details/0d7b51c9d2649a6e,Dricus Du Plessis,W,http://ufcstats.com/fighter-details/1338e2c7480bdf9e,Israel Adesanya,L,UFC Middleweight Title Bout,Submission,4,218,5,Marc Goddard,http://ufcstats.com/fight-details/6c44af21414e4143
13,UFC 305: Du Plessis vs. Adesanya,http://ufcstats.com/fighter-details/853eb0dd5c0e2149,Kai Kara-France,W,http://ufcstats.com/fighter-details/32ab52e5de93092d,Steve Erceg,L,Flyweight Bout,KO/TKO,1,244,3,Rich Mitchell,http://ufcstats.com/fight-details/bf8c5effd23f69c4
14,UFC 305: Du Plessis vs. Adesanya,http://ufcstats.com/fighter-details/72db2a14ffa73ece,Mateusz Gamrot,L,http://ufcstats.com/fighter-details/193b9d1858bc4df3,Dan Hooker,W,Lightweight Bout,Decision - Split,3,300,3,Jim Perdios,http://ufcstats.com/fight-details/059f5cf0e9e37627
15,UFC 305: Du Plessis vs. Adesanya,http://ufcstats.com/fighter-details/c62fbc117d57b943,Tai Tuivasa,L,http://ufcstats.com/fighter-details/2cd428e9606856fd,Jairzinho Rozenstruik,W,Heavyweight Bout,Decision - Split,3,300,3,Marc Goddard,http://ufcstats.com/fight-details/dd3d8f7066c145b7
16,UFC 305: Du Plessis vs. Adesanya,http://ufcstats.com/fighter-details/e64b96c07d7ce999,Li Jingliang,L,http://ufcstats.com/fighter-details/7ee0fd831c0fe7c3,Carlos Prates,W,Welterweight Bout,KO/TKO,2,242,3,Matt Wynne,http://ufcstats.com/fight-details/3c319d4659e6c8fd
17,UFC 305: Du Plessis vs. Adesanya,http://ufcstats.com/fighter-details/c15fa95b9a12fde4,Junior Tafa,L,http://ufcstats.com/fighter-details/f5779a2303ed76ec,Valter Walker,W,Heavyweight Bout,Submission,1,296,3,Steve Perceval,http://ufcstats.com/fight-details/ea4ff1d77928b029
18,UFC 305: Du Plessis vs. Adesanya,http://ufcstats.com/fighter-details/6751eacd16bd59bc,Josh Culibao,L,http://ufcstats.com/fighter-details/1ae8f3c723aacff4,Ricardo Ramos,W,Featherweight Bout,Decision - Split,3,300,3,Matt Wynne,http://ufcstats.com/fight-details/43ebfc8914a39061
19,UFC 305: Du Plessis vs. Adesanya,http://ufcstats.com/fighter-details/04835018f90b118c,Casey O'Neill,W,http://ufcstats.com/fighter-details/5078e1dacf9d25f4,Luana Santos,L,Women's Flyweight Bout,Decision - Unanimous,3,300,3,Rich Mitchell,http://ufcstats.com/fight-details/b9d5c77ae7a8109b
20,UFC 305: Du Plessis vs. Adesanya,http://ufcstats.com/fighter-details/a9da3158dd2c2b5a,Jack Jenkins,W,http://ufcstats.com/fighter-details/4f140403000158b5,Herbert Burns,L,Featherweight Bout,KO/TKO,3,48,3,Marc Goddard,http://ufcstats.com/fight-details/bfff6cf22c1c569c
