round_id,event_name,round,fighter_name,kd,ts_landed,ts_attempted,td_landed,td_attempted,sub_attempted,rev,control,ss_landed,ss_attempted,head_ss_attempted,head_ss_landed,body_ss_attempted,body_ss_landed,leg_ss_attempted,leg_ss_landed,distance_ss_attempted,distance_ss_landed,clinch_ss_attempted,clinch_ss_landed,ground_ss_attempted,ground_ss_landed
1,UFC 303: Pereira vs. Prochazka 2,1,Alex Pereira,1,38,48,0,0,0,0,0,27,37,10,19,8,9,9,9,20,30,7,7,0,0
2,UFC 303: Pereira vs. Prochazka 2,1,Jiri Prochazka,0,7,25,0,0,0,0,71,7,25,4,20,2,4,1,1,6,24,1,1,0,0
3,UFC 303: Pereira vs. Prochazka 2,2,Alex Pereira,1,11,13,0,0,0,0,3,11,13,11,13,0,0,0,0,1,1,0,0,10,12
4,UFC 303: Pereira vs. Prochazka 2,2,Jiri Prochazka,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,UFC 303: Pereira vs. Prochazka 2,1,Dan Ige,0,9,24,0,1,0,0,0,9,24,6,21,2,2,1,1,7,21,2,3,0,0
6,UFC 303: Pereira vs. Prochazka 2,1,Diego Lopes,0,23,48,0,0,1,0,23,22,47,16,38,3,6,3,3,14,37,8,10,0,0
7,UFC 303: Pereira vs. Prochazka 2,2,Dan Ige,0,17,22,0,0,0,0,0,8,12,6,9,1,1,1,2,6,10,0,0,2,2
8,UFC 303: Pereira vs. Prochazka 2,2,Diego Lopes,0,51,57,0,0,0,0,190,12,16,6,9,3,3,3,4,11,15,0,0,1,1
9,UFC 303: Pereira vs. Prochazka 2,3,Dan Ige,0,41,57,0,0,0,0,99,25,41,22,37,1,2,2,2,11,22,1,1,13,18
10,UFC 303: Pereira vs. Prochazka 2,3,Diego Lopes,0,16,38,1,3,0,0,33,15,37,10,27,2,5,3,5,13,33,2,4,0,0
11,UFC 303: Pereira vs. Prochazka 2,1,Anthony Smith,0,18,32,0,0,0,0,0,18,32,6,19,3,3,9,10,18,32,0,0,0,0
12,UFC 303: Pereira vs. Prochazka 2,1,Roman Dolidze,0,22,52,0,0,0,0,0,22,52,4,27,4,6,14,19,21,51,1,1,0,0
13,UFC 303: Pereira vs. Prochazka 2,2,Anthony Smith,0,11,16,0,0,0,0,0,11,16,4,8,0,0,7,8,11,16,0,0,0,0
14,UFC 303: Pereira vs. Prochazka 2,2,Roman Dolidze,0,51,76,1,2,0,0,213,48,73,40,63,4,4,4,6,14,22,2,2,32,49
15,UFC 303: Pereira vs. Prochazka 2,3,Anthony Smith,0,22,45,0,0,0,0,0,22,45,17,40,1,1,4,4,22,45,0,0,0,0
16,UFC 303: Pereira vs. Prochazka 2,3,Roman Dolidze,0,30,60,0,1,0,0,0,30,60,17,45,4,6,9,9,30,59,0,1,0,0
17,UFC 303: Pereira vs. Prochazka 2,1,Mayra Bueno Silva,0,47,57,0,4,0,0,58,42,52,20,28,20,22,2,2,19,27,23,25,0,0
18,UFC 303: Pereira vs. Prochazka 2,1,Macy Chiasson,0,50,75,0,0,0,0,28,37,62,21,44,13,15,3,3,19,41,18,21,0,0
19,UFC 303: Pereira vs. Prochazka 2,2,Mayra Bueno Silva,0,6,9,0,0,0,0,21,4,7,4,6,0,0,0,1,2,5,0,0,2,2
20,UFC 303: Pereira vs. Prochazka 2,2,Macy Chiasson,0,14,24,1,1,0,0,80,13,23,6,15,0,1,7,7,3,11,0,2,10,10
21,UFC 303: Pereira vs. Prochazka 2,1,Ian Machado Garry,0,27,41,1,1,2,0,232,2,6,2,4,0,2,0,0,1,4,0,0,1,2
22,UFC 303: Pereira vs. Prochazka 2,1,Michael Page,0,7,12,0,0,0,0,0,2,6,2,4,0,0,0,2,2,5,0,1,0,0
23,UFC 303: Pereira vs. Prochazka 2,2,Ian Machado Garry,0,10,22,0,1,0,0,101,9,21,4,13,2,3,3,5,5,15,4,6,0,0
24,UFC 303: Pereira vs. Prochazka 2,2,Michael Page,0,31,41,0,0,0,0,15,14,23,9,16,3,4,2,3,12,20,0,0,2,3
25,UFC 303: Pereira vs. Prochazka 2,3,Ian Machado Garry,0,28,38,1,3,0,0,116,8,12,6,9,1,2,1,1,3,6,1,1,4,5
26,UFC 303: Pereira vs. Prochazka 2,3,Michael Page,0,14,21,0,0,0,0,97,5,9,4,8,1,1,0,0,5,9,0,0,0,0
27,UFC 303: Pereira vs. Prochazka 2,1,Joe Pyfer,1,8,10,0,0,0,0,0,8,10,4,5,1,2,3,3,7,9,0,0,1,1
28,UFC 303: Pereira vs. Prochazka 2,1,Marc-Andre Barriault,0,0,5,0,0,0,0,0,0,5,0,3,0,1,0,1,0,5,0,0,0,0
29,UFC 303: Pereira vs. Prochazka 2,1,Cub Swanson,0,20,31,0,0,0,0,7,20,31,9,18,3,4,8,9,18,29,2,2,0,0
30,UFC 303: Pereira vs. Prochazka 2,1,Andre Fili,0,19,43,0,1,0,0,0,18,42,12,31,4,8,2,3,13,36,5,6,0,0
31,UFC 303: Pereira vs. Prochazka 2,2,Cub Swanson,0,22,39,0,2,0,0,19,12,29,11,27,0,1,1,1,11,28,1,1,0,0
32,UFC 303: Pereira vs. Prochazka 2,2,Andre Fili,0,18,35,1,4,0,0,147,18,35,14,29,4,6,0,0,15,29,3,6,0,0
33,UFC 303: Pereira vs. Prochazka 2,3,Cub Swanson,0,48,70,0,0,0,0,3,30,51,23,41,4,6,3,4,24,44,6,7,0,0
34,UFC 303: Pereira vs. Prochazka 2,3,Andre Fili,0,33,73,1,6,0,0,83,31,70,23,58,5,8,3,4,24,61,7,9,0,0
35,UFC 303: Pereira vs. Prochazka 2,1,Charles Jourdain,0,20,41,2,5,0,0,34,20,40,4,22,10,12,6,6,16,35,3,3,1,2
36,UFC 303: Pereira vs. Prochazka 2,1,Jean Silva,1,26,46,0,0,0,0,7,25,45,21,41,3,3,1,1,11,27,11,14,3,4
37,UFC 303: Pereira vs. Prochazka 2,2,Charles Jourdain,0,4,7,1,2,0,0,43,3,6,2,4,1,2,0,0,1,4,2,2,0,0
38,UFC 303: Pereira vs. Prochazka 2,2,Jean Silva,1,9,10,0,0,0,0,2,9,10,5,6,4,4,0,0,3,4,5,5,1,1
39,UFC 303: Pereira vs. Prochazka 2,1,Payton Talbott,1,13,13,0,0,0,0,1,13,13,12,12,0,0,1,1,4,4,0,0,9,9
40,UFC 303: Pereira vs. Prochazka 2,1,Yanis Ghemmouri,0,1,2,0,0,0,0,0,1,2,0,1,0,0,1,1,1,2,0,0,0,0
41,UFC 303: Pereira vs. Prochazka 2,1,Michelle Waterson-Gomez,0,15,42,0,0,0,0,0,11,37,9,33,1,3,1,1,8,33,0,1,3,3
42,UFC 303: Pereira vs. Prochazka 2,1,Gillian Robertson,0,36,53,1,3,0,0,203,27,43,23,39,3,3,1,1,8,19,0,0,19,24
43,UFC 303: Pereira vs. Prochazka 2,2,Michelle Waterson-Gomez,0,13,16,0,0,0,0,0,4,6,4,6,0,0,0,0,1,2,3,3,0,1
44,UFC 303: Pereira vs. Prochazka 2,2,Gillian Robertson,0,48,53,1,3,1,0,289,27,31,22,26,5,5,0,0,1,1,0,0,26,30
45,UFC 303: Pereira vs. Prochazka 2,3,Michelle Waterson-Gomez,0,13,17,1,1,0,0,19,6,9,6,9,0,0,0,0,0,2,0,0,6,7
46,UFC 303: Pereira vs. Prochazka 2,3,Gillian Robertson,0,38,50,0,0,1,0,262,23,31,22,29,1,1,0,1,1,4,0,0,22,27
47,UFC 303: Pereira vs. Prochazka 2,1,Andrei Arlovski,0,16,28,0,1,0,0,48,14,25,8,17,4,5,2,3,12,22,2,3,0,0
48,UFC 303: Pereira vs. Prochazka 2,1,Martin Buday,0,55,69,0,0,0,0,138,8,21,5,17,1,2,2,2,4,16,4,5,0,0
49,UFC 303: Pereira vs. Prochazka 2,2,Andrei Arlovski,0,32,53,0,0,0,0,129,27,46,14,29,8,12,5,5,19,37,8,9,0,0
50,UFC 303: Pereira vs. Prochazka 2,2,Martin Buday,0,45,55,0,0,0,0,10,22,32,8,16,11,12,3,4,8,14,14,18,0,0
51,UFC 303: Pereira vs. Prochazka 2,3,Andrei Arlovski,0,50,66,0,0,0,0,121,33,48,12,23,14,16,7,9,23,38,10,10,0,0
52,UFC 303: Pereira vs. Prochazka 2,3,Martin Buday,0,65,75,0,0,0,0,12,24,31,11,18,13,13,0,0,11,18,13,13,0,0
53,UFC 303: Pereira vs. Prochazka 2,1,Rei Tsuruya,0,9,20,2,4,0,0,76,2,12,1,11,1,1,0,0,2,12,0,0,0,0
54,UFC 303: Pereira vs. Prochazka 2,1,Carlos Hernandez,0,8,23,1,1,0,0,6,8,23,3,18,1,1,4,4,8,23,0,0,0,0
55,UFC 303: Pereira vs. Prochazka 2,2,Rei Tsuruya,0,26,35,1,1,0,0,282,13,17,12,16,1,1,0,0,0,0,0,0,13,17
56,UFC 303: Pereira vs. Prochazka 2,2,Carlos Hernandez,0,2,2,0,0,0,0,0,2,2,2,2,0,0,0,0,0,0,0,0,2,2
57,UFC 303: Pereira vs. Prochazka 2,3,Rei Tsuruya,0,27,28,0,3,0,0,21,2,3,2,3,0,0,0,0,0,0,2,3,0,0
58,UFC 303: Pereira vs. Prochazka 2,3,Carlos Hernandez,0,16,20,0,1,0,0,263,6,7,2,3,4,4,0,0,0,0,4,5,2,2
59,UFC 303: Pereira vs. Prochazka 2,1,Ricky Simon,0,15,27,0,2,0,0,6,14,26,9,21,3,3,2,2,14,26,0,0,0,0
