fight_id,event_name,fighter_1,fighter_1_result,fighter_2,fighter_2_result,bout_type,method,end_round,end_time_round,max_round,referee,fight_link
1,UFC 303: Pereira vs. Prochazka 2,Alex Pereira,W,Jiri Prochazka,L,UFC Light Heavyweight Title Bout,KO/TKO,2,13,5,Herb Dean,http://ufcstats.com/fight-details/bca5d01f8775f852
2,UFC 303: Pereira vs. Prochazka 2,Dan Ige,L,Diego Lopes,W,Catch Weight Bout,Decision - Unanimous,3,300,3,,http://ufcstats.com/fight-details/fc8ad0c7fc70dde7
3,UFC 303: Pereira vs. Prochazka 2,Anthony Smith,L,Roman Dolidze,W,Light Heavyweight Bout,Decision - Unanimous,3,300,3,Marc Goddard,http://ufcstats.com/fight-details/bf878c083a6b30ad
4,UFC 303: Pereira vs. Prochazka 2,Mayra Bueno Silva,L,Macy Chiasson,W,Women's Bantamweight Bout,TKO - Doctor's Stoppage,2,118,3,Chris Tognoni,http://ufcstats.com/fight-details/a571c622ab89b3d9
5,UFC 303: Pereira vs. Prochazka 2,Ian Machado Garry,W,Michael Page,L,Welterweight Bout,Decision - Unanimous,3,300,3,Mark Smith,http://ufcstats.com/fight-details/fbf77262d8da342b
6,UFC 303: Pereira vs. Prochazka 2,Joe Pyfer,W,Marc-Andre Barriault,L,Middleweight Bout,KO/TKO,1,85,3,Herb Dean,http://ufcstats.com/fight-details/daa6b47be304ec86
7,UFC 303: Pereira vs. Prochazka 2,Cub Swanson,L,Andre Fili,W,Featherweight Bout,Decision - Split,3,300,3,Jason Herzog,http://ufcstats.com/fight-details/08489fdfb56ee19c
8,UFC 303: Pereira vs. Prochazka 2,Charles Jourdain,L,Jean Silva,W,Featherweight Bout,KO/TKO,2,82,3,Marc Goddard,http://ufcstats.com/fight-details/2b7883b304b3df1c
9,UFC 303: Pereira vs. Prochazka 2,Payton Talbott,W,Yanis Ghemmouri,L,Bantamweight Bout,KO/TKO,1,19,3,Chris Tognoni,http://ufcstats.com/fight-details/5f8a92f10e5451ce
10,UFC 303: Pereira vs. Prochazka 2,Michelle Waterson-Gomez,L,Gillian Robertson,W,Women's Strawweight Bout,Decision - Unanimous,3,300,3,Jason Herzog,http://ufcstats.com/fight-details/2517029ff9c1a1a2
11,UFC 303: Pereira vs. Prochazka 2,Andrei Arlovski,L,Martin Buday,W,Heavyweight Bout,Decision - Split,3,300,3,Mark Smith,http://ufcstats.com/fight-details/3bbc222130d9dac7
12,UFC 303: Pereira vs. Prochazka 2,Rei Tsuruya,W,Carlos Hernandez,L,Flyweight Bout,Decision - Unanimous,3,300,3,Marc Goddard,http://ufcstats.com/fight-details/7856621db043423d
13,UFC 303: Pereira vs. Prochazka 2,Ricky Simon,L,Vinicius Oliveira,W,Bantamweight Bout,Decision - Unanimous,3,300,3,Mark Smith,http://ufcstats.com/fight-details/bbe3d8a37a276511
14,UFC Fight Night: Whittaker vs. Aliskerov,Robert Whittaker,W,Ikram Aliskerov,L,Middleweight Bout,KO/TKO,1,109,5,Marc Goddard,http://ufcstats.com/fight-details/eba46dbf9cdd83c0
15,UFC Fight Night: Whittaker vs. Aliskerov,Sergei Pavlovich,L,Alexander Volkov,W,Heavyweight Bout,Decision - Unanimous,3,300,3,Jason Herzog,http://ufcstats.com/fight-details/cd3bb8a2824fbf22
16,UFC Fight Night: Whittaker vs. Aliskerov,Kelvin Gastelum,W,Daniel Rodriguez,L,Middleweight Bout,Decision - Unanimous,3,300,3,Rich Mitchell,http://ufcstats.com/fight-details/8ddd53a7ed3754d5
17,UFC Fight Night: Whittaker vs. Aliskerov,Shara Magomedov,W,Antonio Trocoli,L,Middleweight Bout,KO/TKO,3,147,3,Marc Goddard,http://ufcstats.com/fight-details/fbbf5391ea25521b
18,UFC Fight Night: Whittaker vs. Aliskerov,Johnny Walker,L,Volkan Oezdemir,W,Light Heavyweight Bout,KO/TKO,1,148,3,Jason Herzog,http://ufcstats.com/fight-details/9d5f562e0572058c
19,UFC Fight Night: Whittaker vs. Aliskerov,Nasrat Haqparast,W,Jared Gordon,L,Lightweight Bout,Decision - Split,3,300,3,Rich Mitchell,http://ufcstats.com/fight-details/774fb0c0c1c2bc6a
20,UFC Fight Night: Whittaker vs. Aliskerov,Muhammad Naimov,L,Felipe Lima,W,Featherweight Bout,Submission,3,75,3,Thomas Fan,http://ufcstats.com/fight-details/8bd5f20f49434c65
21,UFC Fight Night: Whittaker vs. Aliskerov,Rinat Fakhretdinov,W,Nicolas Dalby,L,Welterweight Bout,Decision - Split,3,300,3,Thomas Fan,http://ufcstats.com/fight-details/de1acb6803ab3f14
22,UFC Fight Night: Whittaker vs. Aliskerov,Kyung Ho Kang,L,Muin Gafurov,W,Bantamweight Bout,Decision - Unanimous,3,300,3,Marc Goddard,http://ufcstats.com/fight-details/8db5cf5df713a7e9
23,UFC Fight Night: Whittaker vs. Aliskerov,Magomed Gadzhiyasulov,W,Brendson Ribeiro,L,Light Heavyweight Bout,Decision - Majority,3,300,3,Jason Herzog,http://ufcstats.com/fight-details/0ac2da3dbaf2fce2
24,UFC Fight Night: Whittaker vs. Aliskerov,Xiao Long,L,ChangHo Lee,W,Bantamweight Bout,Decision - Split,3,300,3,Thomas Fan,http://ufcstats.com/fight-details/c0d6feef69ccb330
25,UFC Fight Night: Perez vs. Taira,Alex Perez,L,Tatsuro Taira,W,Flyweight Bout,KO/TKO,2,179,5,Herb Dean,http://ufcstats.com/fight-details/7f14be4e45bca6bd
26,UFC Fight Night: Perez vs. Taira,Douglas Silva de Andrade,L,Miles Johns,W,Bantamweight Bout,Decision - Unanimous,3,300,3,Mark Smith,http://ufcstats.com/fight-details/6bdb93f9b4581bf6
27,UFC Fight Night: Perez vs. Taira,Timmy Cuamba,L,Lucas Almeida,W,Featherweight Bout,Decision - Unanimous,3,300,3,Mike Beltran,http://ufcstats.com/fight-details/78a7bf038e56881d
28,UFC Fight Night: Perez vs. Taira,Brady Hiestand,W,Garrett Armfield,L,Bantamweight Bout,Submission,3,112,3,Chris Tognoni,http://ufcstats.com/fight-details/fea3a0643218e16b
29,UFC Fight Night: Perez vs. Taira,Asu Almabayev,W,Jose Johnson,L,Flyweight Bout,Decision - Unanimous,3,300,3,Herb Dean,http://ufcstats.com/fight-details/3b1438e9ec64990e
30,UFC Fight Night: Perez vs. Taira,Josh Quinlan,L,Adam Fugitt,W,Welterweight Bout,Decision - Split,3,300,3,Mark Smith,http://ufcstats.com/fight-details/ab7bc93bdf4132c4
31,UFC Fight Night: Perez vs. Taira,Jimmy Flick,L,Nate Maness,W,Flyweight Bout,Decision - Unanimous,3,300,3,Mike Beltran,http://ufcstats.com/fight-details/6f31285305881fe3
32,UFC Fight Night: Perez vs. Taira,Carli Judice,L,Gabriella Fernandes,W,Women's Flyweight Bout,Decision - Split,3,300,3,Chris Tognoni,http://ufcstats.com/fight-details/19ef5890b20f903a
33,UFC Fight Night: Perez vs. Taira,Jeka Saragih,L,Westin Wilson,W,Featherweight Bout,Submission,1,109,3,Mark Smith,http://ufcstats.com/fight-details/e47523ac32bfa24c
34,UFC Fight Night: Perez vs. Taira,Melquizael Costa,W,Shayilan Nuerdanbieke,L,Featherweight Bout,Submission,3,110,3,Mike Beltran,http://ufcstats.com/fight-details/94f5b35b2b6c72b1
35,UFC Fight Night: Perez vs. Taira,Josefine Knutsson,W,Julia Polastri,L,Women's Strawweight Bout,Decision - Unanimous,3,300,3,Chris Tognoni,http://ufcstats.com/fight-details/06713afc60301c0c
36,UFC Fight Night: Cannonier vs. Imavov,Jared Cannonier,L,Nassourdine Imavov,W,Middleweight Bout,KO/TKO,4,94,5,Jason Herzog,http://ufcstats.com/fight-details/052f53e006b28132
37,UFC Fight Night: Cannonier vs. Imavov,Dominick Reyes,W,Dustin Jacoby,L,Light Heavyweight Bout,KO/TKO,1,120,3,Dan Miragliotta,http://ufcstats.com/fight-details/2d12ae4683bbf433
38,UFC Fight Night: Cannonier vs. Imavov,Raul Rosas Jr.,W,Ricky Turcios,L,Bantamweight Bout,Submission,2,142,3,Blake Grice,http://ufcstats.com/fight-details/b34abcfe4c2e8a57
39,UFC Fight Night: Cannonier vs. Imavov,Brunno Ferreira,W,Dustin Stoltzfus,L,Middleweight Bout,KO/TKO,1,291,3,Jason Herzog,http://ufcstats.com/fight-details/dcc0c53100fa1dd2
40,UFC Fight Night: Cannonier vs. Imavov,Julian Marquez,L,Zach Reese,W,Middleweight Bout,KO/TKO,1,20,3,Dan Miragliotta,http://ufcstats.com/fight-details/3b12094dd48c2dc5
41,UFC Fight Night: Cannonier vs. Imavov,Miguel Baeza,L,Punahele Soriano,W,Welterweight Bout,Decision - Unanimous,3,300,3,Rob Mooney,http://ufcstats.com/fight-details/393f9bc7b51791a6
42,UFC Fight Night: Cannonier vs. Imavov,Thiago Moises,L,Ludovit Klein,W,Lightweight Bout,Decision - Unanimous,3,300,3,George Conley,http://ufcstats.com/fight-details/251983e1bdae20fe
43,UFC Fight Night: Cannonier vs. Imavov,Charles Radtke,L,Carlos Prates,W,Welterweight Bout,KO/TKO,1,287,3,Blake Grice,http://ufcstats.com/fight-details/8afe89f5c451b372
44,UFC Fight Night: Cannonier vs. Imavov,Brad Katona,W,Jesse Butler,L,Bantamweight Bout,Decision - Unanimous,3,300,3,Jason Herzog,http://ufcstats.com/fight-details/4c0adccb34c1d995
45,UFC Fight Night: Cannonier vs. Imavov,Andrea Lee,L,Montana De La Rosa,W,Women's Flyweight Bout,Decision - Split,3,300,3,George Conley,http://ufcstats.com/fight-details/a91fdb21a7ff52e5
46,UFC Fight Night: Cannonier vs. Imavov,John Castaneda,L,Daniel Marcos,W,Bantamweight Bout,Decision - Unanimous,3,300,3,Dan Miragliotta,http://ufcstats.com/fight-details/e976815e397c40e1
47,UFC Fight Night: Cannonier vs. Imavov,Eduarda Moura,L,Denise Gomes,W,Women's Strawweight Bout,Decision - Split,3,300,3,Rob Mooney,http://ufcstats.com/fight-details/790a8cd528233e50
48,UFC Fight Night: Cannonier vs. Imavov,Cody Stamann,L,Taylor Lapilus,W,Bantamweight Bout,Decision - Unanimous,3,300,3,Blake Grice,http://ufcstats.com/fight-details/753735b48b1c20b9
49,UFC Fight Night: Cannonier vs. Imavov,Rayanne dos Santos,L,Puja Tomar,W,Women's Strawweight Bout,Decision - Split,3,300,3,George Conley,http://ufcstats.com/fight-details/b20640f9b2634de1
50,UFC 302: Makhachev vs. Poirier,Islam Makhachev,W,Dustin Poirier,L,UFC Lightweight Title Bout,Submission,5,162,5,Keith Peterson,http://ufcstats.com/fight-details/1a0031e2072f21b6
51,UFC 302: Makhachev vs. Poirier,Sean Strickland,W,Paulo Costa,L,Middleweight Bout,Decision - Split,5,300,5,Jason Herzog,http://ufcstats.com/fight-details/9e7538a788e6d789
52,UFC 302: Makhachev vs. Poirier,Kevin Holland,W,Michal Oleksiejczuk,L,Middleweight Bout,Submission,1,94,3,Herb Dean,http://ufcstats.com/fight-details/605c16fa5a803b15
53,UFC 302: Makhachev vs. Poirier,Niko Price,W,Alex Morono,L,Welterweight Bout,Decision - Unanimous,3,300,3,Keith Peterson,http://ufcstats.com/fight-details/b5d5b8e06ccb70a3
54,UFC 302: Makhachev vs. Poirier,Randy Brown,W,Elizeu Zaleski dos Santos,L,Welterweight Bout,Decision - Unanimous,3,300,3,Gasper Oliver,http://ufcstats.com/fight-details/fd2d814a8a23798f
55,UFC 302: Makhachev vs. Poirier,Cesar Almeida,L,Roman Kopylov,W,Middleweight Bout,Decision - Split,3,300,3,Herb Dean,http://ufcstats.com/fight-details/ee24be90a01f552e
56,UFC 302: Makhachev vs. Poirier,Jailton Almeida,W,Alexandr Romanov,L,Heavyweight Bout,Submission,1,147,3,Vitor Ribeiro,http://ufcstats.com/fight-details/c0af8cf5befb2dcf
57,UFC 302: Makhachev vs. Poirier,Grant Dawson,W,Joe Solecki,L,Lightweight Bout,Decision - Unanimous,3,300,3,Jason Herzog,http://ufcstats.com/fight-details/cf306c4714530f31
58,UFC 302: Makhachev vs. Poirier,Phil Rowe,L,Jake Matthews,W,Welterweight Bout,Decision - Unanimous,3,300,3,Vitor Ribeiro,http://ufcstats.com/fight-details/b7575b0ec9f81741
59,UFC 302: Makhachev vs. Poirier,Mickey Gall,L,Bassil Hafez,W,Welterweight Bout,Decision - Unanimous,3,300,3,Jason Herzog,http://ufcstats.com/fight-details/7d9bb6fda0ea1ee0
60,UFC 302: Makhachev vs. Poirier,Ailin Perez,W,Joselyne Edwards,L,Women's Bantamweight Bout,Decision - Unanimous,3,300,3,Gasper Oliver,http://ufcstats.com/fight-details/2554b31a07f34e1a
61,UFC 302: Makhachev vs. Poirier,Mitch Raposo,L,Andre Lima,W,Flyweight Bout,Decision - Split,3,300,3,Herb Dean,http://ufcstats.com/fight-details/f1d3eec12662d8d7
62,UFC Fight Night: Barboza vs. Murphy,Edson Barboza,L,Lerone Murphy,W,Featherweight Bout,Decision - Unanimous,5,300,5,Herb Dean,http://ufcstats.com/fight-details/17aa636aa98678d3
63,UFC Fight Night: Barboza vs. Murphy,Khaos Williams,W,Carlston Harris,L,Welterweight Bout,KO/TKO,1,90,3,Dan Miragliotta,http://ufcstats.com/fight-details/85ddb65429a9d517
64,UFC Fight Night: Barboza vs. Murphy,Themba Gorimbo,W,Ramiz Brahimaj,L,Welterweight Bout,Decision - Unanimous,3,300,3,Mark Smith,http://ufcstats.com/fight-details/20220ace492af368
65,UFC Fight Night: Barboza vs. Murphy,Adrian Yanez,W,Vinicius Salvador,L,Bantamweight Bout,KO/TKO,1,167,3,Chris Tognoni,http://ufcstats.com/fight-details/5dcade01fc840da6
66,UFC Fight Night: Barboza vs. Murphy,Luana Pinheiro,L,Angela Hill,W,Women's Strawweight Bout,Submission,2,252,3,Herb Dean,http://ufcstats.com/fight-details/2a43df4cc047a28b
67,UFC Fight Night: Barboza vs. Murphy,Victor Martinez,L,Tom Nolan,W,Lightweight Bout,KO/TKO,1,230,3,Mark Smith,http://ufcstats.com/fight-details/b5df5a0a0bda9256
68,UFC Fight Night: Barboza vs. Murphy,Oumar Sy,W,Tuco Tokkos,L,Light Heavyweight Bout,Submission,1,223,3,Dan Miragliotta,http://ufcstats.com/fight-details/68ee31dd0853cdc9
69,UFC Fight Night: Barboza vs. Murphy,Tamires Vidal,L,Melissa Gatto,W,Women's Bantamweight Bout,KO/TKO,3,37,3,Chris Tognoni,http://ufcstats.com/fight-details/3aea9c60d25fc93b
70,UFC Fight Night: Barboza vs. Murphy,Abus Magomedov,W,Warlley Alves,L,Middleweight Bout,Decision - Unanimous,3,300,3,Dan Miragliotta,http://ufcstats.com/fight-details/fc2bdd67c1a056a4
71,UFC Fight Night: Barboza vs. Murphy,Piera Rodriguez,L,Ariane Carnelossi,W,Women's Strawweight Bout,DQ,2,196,3,Mark Smith,http://ufcstats.com/fight-details/28c6de749d0d0e9d
72,UFC Fight Night: Barboza vs. Murphy,Alatengheili,W,Kleydson Rodrigues,L,Bantamweight Bout,Decision - Unanimous,3,300,3,Herb Dean,http://ufcstats.com/fight-details/63605e9f3e71d738
73,UFC Fight Night: Barboza vs. Murphy,Vanessa Demopoulos,W,Emily Ducote,L,Women's Strawweight Bout,Decision - Split,3,300,3,Chris Tognoni,http://ufcstats.com/fight-details/069df63733dcf697
74,UFC Fight Night: Lewis vs. Nascimento,Derrick Lewis,W,Rodrigo Nascimento,L,Heavyweight Bout,KO/TKO,3,49,5,Jason Herzog,http://ufcstats.com/fight-details/6f0f84075fa1a4b0
75,UFC Fight Night: Lewis vs. Nascimento,Joaquin Buckley,W,Nursulton Ruziboev,L,Welterweight Bout,Decision - Unanimous,3,300,3,Keith Peterson,http://ufcstats.com/fight-details/b78a222fb448aed4
76,UFC Fight Night: Lewis vs. Nascimento,Alonzo Menifield,L,Carlos Ulberg,W,Light Heavyweight Bout,KO/TKO,1,12,3,Nick Berens,http://ufcstats.com/fight-details/a049c12f43914449
